coverage,complexity,lines,modify,bug_shown,bug_coupling,fixed_shown,fix_coupling,result
0.832085427,5.106000984,9448,203,2,2,1,1,0
0.800221053,3.296267597,8402,47,2,1,0,0,0
0.828098574,7.752869465,7279,149,2,1,1,0,0
0.932765233,2.411684631,6,5,2,1,1,1,0
0.842916967,5.416383726,10799,288,1,0,1,0,0
0.859250887,7.0975246,10652,163,1,1,0,0,0
0.891230365,1.79793422,10370,85,1,1,1,1,0
0.790979805,6.030636744,10041,6,1,1,0,0,0
0.816774276,5.648744902,9583,7,1,0,0,0,0
0.874196166,6.160226654,8936,218,1,0,1,0,0
0.869333805,3.584905438,8295,28,1,1,0,0,0
0.879002143,0.621215328,8213,134,1,0,2,1,0
0.806592626,9.253335042,7427,1,1,1,0,0,0
0.809143684,6.28282628,7028,54,1,1,1,0,0
0.796242423,3.794756554,6731,66,1,0,0,0,0
0.857213869,6.539739201,6616,263,1,1,1,0,0
0.900438761,5.305949891,6306,184,1,0,0,0,0
0.870894309,2.780252839,5615,55,1,1,0,0,0
0.914532102,5.898834257,5575,93,1,0,1,1,0
0.845341151,7.790057704,5523,27,1,0,0,0,0
0.918494071,1.155152731,2687,170,1,0,0,0,0
0.90812542,4.398900836,1985,151,1,1,1,1,0
0.899386853,0.615327302,1549,170,1,1,1,0,0
0.878271145,7.406948621,8919,85,0,0,0,0,0
0.872879137,9.469304146,8474,228,0,0,1,0,0
0.84708839,3.242154216,7881,87,0,0,2,1,0
0.861627039,2.656716722,7500,104,0,0,0,0,0
0.879967574,10.66669117,7423,119,0,0,0,0,0
0.862115816,3.379643061,7058,11,0,0,1,1,0
0.843133532,1.339991164,6268,312,0,0,1,1,0
0.877913362,1.207993767,5919,118,0,0,1,1,0
0.841642921,4.55785697,5410,51,0,0,1,1,0
0.84773623,2.209005711,5368,33,0,0,0,0,0
0.899687105,4.238225202,3863,117,0,0,0,0,0
0.906542087,9.496097819,2845,97,0,0,2,1,0
0.873150339,3.267537772,1821,200,0,0,1,1,0
0.864876464,0.026110639,1710,192,0,0,2,0,0
